# Data of the correlation along the created chain
#
# Step	Correlation
0	0.544412
1	0.318789
2	0.194329
3	0.121142
4	0.076501
5	0.048741
6	0.031265
7	0.020129
8	0.013002
9	0.008412
10	0.005459
11	0.003547
12	0.002307
13	0.001502
14	0.000990
15	0.000653
16	0.000429
17	0.000286
18	0.000192
19	0.000128
