# Data of the correlation along the created chain
#
# Step	Correlation
0	0.451428
1	0.233696
2	0.132080
3	0.078563
4	0.048209
5	0.030138
6	0.019075
7	0.012156
8	0.007777
9	0.004990
10	0.003216
11	0.002069
12	0.001327
13	0.000850
14	0.000552
15	0.000361
16	0.000237
17	0.000156
18	0.000103
19	0.000067
