0.050000	281
0.150000	309
0.250000	292
0.350000	367
0.450000	453
0.550000	505
0.650000	561
0.750000	629
0.850000	734
0.950000	906
1.050000	1011
1.150000	1164
1.250000	1367
1.350000	1533
1.450000	1783
1.550000	1982
1.650000	2318
1.750000	2615
1.850000	2975
1.950000	3239
2.050000	3856
2.150000	4111
2.250000	4707
2.350000	5214
2.450000	5774
2.550000	6530
2.650000	7034
2.750000	7704
2.850000	8449
2.950000	9322
3.050000	9677
3.150000	10907
3.250000	11541
3.350000	12399
3.450000	13347
3.550000	14154
3.650000	15013
3.750000	15699
3.850000	16851
3.950000	17495
4.050000	18353
4.150000	18670
4.250000	19831
4.350000	20525
4.450000	21085
4.550000	21914
4.650000	22164
4.750000	22471
4.850000	23240
4.950000	23152
5.050000	23618
5.150000	23619
5.250000	23706
5.350000	23583
5.450000	23532
5.550000	23292
5.650000	23233
5.750000	22504
5.850000	22070
5.950000	21738
6.050000	21306
6.150000	20519
6.250000	19903
6.350000	19462
6.450000	18358
6.550000	17939
6.650000	17080
6.750000	16368
6.850000	15665
6.950000	14642
7.050000	13820
7.150000	12935
7.250000	11890
7.350000	11370
7.450000	10249
7.550000	9866
7.650000	8956
7.750000	8378
7.850000	7492
7.950000	7007
8.050000	6240
8.150000	5769
8.250000	5029
8.350000	4624
8.450000	4101
8.550000	3529
8.650000	3100
8.750000	2678
8.850000	2372
8.950000	2140
9.050000	1792
9.150000	1494
9.250000	1308
9.350000	1058
9.450000	850
9.550000	685
9.650000	551
9.750000	426
9.850000	308
9.950000	269
