# Data of the correlation along the created chain
#
# Step	Correlation
0	0.458097
1	0.217319
2	0.105735
3	0.052528
4	0.026522
5	0.013588
6	0.007062
7	0.003721
8	0.001987
9	0.001079
10	0.000597
11	0.000337
12	0.000193
13	0.000111
14	0.000067
15	0.000042
16	0.000026
17	0.000017
18	0.000011
19	0.000008
