# Data of the correlation along the created chain
#
# Step	Correlation
0	0.403156
1	0.187199
2	0.096645
3	0.053743
4	0.031411
5	0.018948
6	0.011689
7	0.007316
8	0.004624
9	0.002939
10	0.001881
11	0.001207
12	0.000771
13	0.000494
14	0.000318
15	0.000205
16	0.000132
17	0.000085
18	0.000054
19	0.000035
