# Data of the correlation along the created chain
#
# Step	Correlation
0	0.653218
1	0.429025
2	0.282572
3	0.186364
4	0.122970
5	0.081141
6	0.053519
7	0.035279
8	0.023244
9	0.015293
10	0.010079
11	0.006640
12	0.004365
13	0.002866
14	0.001884
15	0.001238
16	0.000813
17	0.000532
18	0.000346
19	0.000226
