# Data of the correlation along the created chain
#
# Step	Correlation
0	0.486337
1	0.237424
2	0.116254
3	0.057075
4	0.028038
5	0.013812
6	0.006805
7	0.003353
8	0.001653
9	0.000821
10	0.000407
11	0.000202
12	0.000099
13	0.000048
14	0.000023
15	0.000011
16	0.000006
17	0.000003
18	0.000002
19	0.000001
