# Data of the correlation along the created chain
#
# Step	Correlation
0	0.501297
1	0.279076
2	0.165014
3	0.101002
4	0.063074
5	0.039870
6	0.025407
7	0.016290
8	0.010498
9	0.006795
10	0.004409
11	0.002866
12	0.001877
13	0.001236
14	0.000814
15	0.000538
16	0.000357
17	0.000236
18	0.000154
19	0.000102
