# Data of the correlation along the created chain
#
# Step	Correlation
0	0.581025
1	0.353827
2	0.220992
3	0.139919
4	0.089327
5	0.057308
6	0.036893
7	0.023841
8	0.015442
9	0.010024
10	0.006513
11	0.004243
12	0.002763
13	0.001802
14	0.001178
15	0.000774
16	0.000509
17	0.000339
18	0.000225
19	0.000149
