# Data of the correlation along the created chain
#
# Step	Correlation
0	0.635847
1	0.409954
2	0.266235
3	0.173573
4	0.113455
5	0.074263
6	0.048647
7	0.031866
8	0.020883
9	0.013686
10	0.008964
11	0.005873
12	0.003839
13	0.002509
14	0.001641
15	0.001075
16	0.000709
17	0.000465
18	0.000304
19	0.000198
