# Data of the correlation along the created chain
#
# Step	Correlation
0	0.459906
1	0.215560
2	0.102743
3	0.049756
4	0.024449
5	0.012165
6	0.006141
7	0.003120
8	0.001601
9	0.000835
10	0.000441
11	0.000234
12	0.000123
13	0.000066
14	0.000034
15	0.000019
16	0.000010
17	0.000006
18	0.000004
19	0.000002
