# Data of the correlation along the created chain
#
# Step	Correlation
0	0.663326
1	0.440587
2	0.292834
3	0.194687
4	0.129461
5	0.086106
6	0.057302
7	0.038110
8	0.025354
9	0.016873
10	0.011230
11	0.007467
12	0.004972
13	0.003320
14	0.002217
15	0.001483
16	0.000993
17	0.000666
18	0.000448
19	0.000304
