# Data of the correlation along the created chain
#
# Step	Correlation
0	0.477266
1	0.229336
2	0.110811
3	0.053742
4	0.026150
5	0.012764
6	0.006262
7	0.003080
8	0.001508
9	0.000740
10	0.000362
11	0.000176
12	0.000089
13	0.000045
14	0.000024
15	0.000013
16	0.000007
17	0.000003
18	0.000002
19	0.000001
