# Data of the correlation along the created chain
#
# Step	Correlation
0	0.581374
1	0.354141
2	0.221161
3	0.140109
4	0.089538
5	0.057557
6	0.037168
7	0.024087
8	0.015637
9	0.010160
10	0.006602
11	0.004299
12	0.002806
13	0.001831
14	0.001196
15	0.000782
16	0.000513
17	0.000336
18	0.000219
19	0.000144
