# Data of the correlation along the created chain
#
# Step	Correlation
0	0.499609
1	0.249562
2	0.124756
3	0.062463
4	0.031273
5	0.015626
6	0.007810
7	0.003896
8	0.001950
9	0.000975
10	0.000492
11	0.000249
12	0.000128
13	0.000065
14	0.000033
15	0.000017
16	0.000010
17	0.000006
18	0.000003
19	0.000002
