0.050000	710
0.150000	1158
0.250000	1760
0.350000	2374
0.450000	2864
0.550000	3276
0.650000	3800
0.750000	4443
0.850000	5082
0.950000	5565
1.050000	5987
1.150000	6224
1.250000	6666
1.350000	6992
1.450000	7022
1.550000	7373
1.650000	7789
1.750000	8646
1.850000	9019
1.950000	9673
2.050000	9896
2.150000	9944
2.250000	10333
2.350000	10445
2.450000	10577
2.550000	10874
2.650000	11079
2.750000	11282
2.850000	11758
2.950000	11888
3.050000	12207
3.150000	12454
3.250000	12620
3.350000	12785
3.450000	13041
3.550000	13251
3.650000	13024
3.750000	12650
3.850000	12718
3.950000	13079
4.050000	13565
4.150000	13777
4.250000	13887
4.350000	14178
4.450000	14270
4.550000	14311
4.650000	14223
4.750000	14232
4.850000	13943
4.950000	13824
5.050000	13761
5.150000	13788
5.250000	13777
5.350000	13862
5.450000	13984
5.550000	14231
5.650000	14317
5.750000	14483
5.850000	14410
5.950000	14436
6.050000	14306
6.150000	14162
6.250000	14251
6.350000	13839
6.450000	14113
6.550000	13693
6.650000	13620
6.750000	13311
6.850000	13167
6.950000	12542
7.050000	12621
7.150000	12423
7.250000	12309
7.350000	11778
7.450000	11486
7.550000	11283
7.650000	11261
7.750000	11014
7.850000	10658
7.950000	10360
8.050000	9999
8.150000	9809
8.250000	9455
8.350000	8970
8.450000	8757
8.550000	8262
8.650000	7725
8.750000	7284
8.850000	6790
8.950000	6330
9.050000	5998
9.150000	5486
9.250000	4993
9.350000	4519
9.450000	4108
9.550000	3568
9.650000	3157
9.750000	2636
9.850000	2196
9.950000	1700
