# Data of the correlation along the created chain
#
# Step	Correlation
0	0.456992
1	0.211684
2	0.099148
3	0.046886
4	0.022367
5	0.010761
6	0.005213
7	0.002541
8	0.001240
9	0.000605
10	0.000298
11	0.000146
12	0.000075
13	0.000038
14	0.000020
15	0.000010
16	0.000005
17	0.000002
18	0.000001
19	0.000001
