# Data of the correlation along the created chain
#
# Step	Correlation
0	0.612216
1	0.385116
2	0.245815
3	0.158130
4	0.102211
5	0.066303
6	0.043077
7	0.028033
8	0.018257
9	0.011922
10	0.007790
11	0.005092
12	0.003330
13	0.002191
14	0.001446
15	0.000956
16	0.000632
17	0.000417
18	0.000273
19	0.000176
