# Data of the correlation along the created chain
#
# Step	Correlation
0	0.466762
1	0.220257
2	0.104684
3	0.050100
4	0.024098
5	0.011634
6	0.005622
7	0.002722
8	0.001319
9	0.000645
10	0.000314
11	0.000154
12	0.000078
13	0.000041
14	0.000021
15	0.000011
16	0.000005
17	0.000002
18	0.000001
19	0.000001
